OrderNo,StoreName,Cost,Location,Date,Status
6017991178,KFC,465.03,"MaldaLocality,Malda",21 July 2024,True
6011530633,"Faasos-Wraps,Rolls&Shawarma",195.53,"VijayNagar,Indore",18 July 2024,True
5991427971,NafeesRestaurant,255.58,"OldPalasia,Indore",17 July 2024,True
6002678112,PizzaHut,335.28,"VijayNagar,Indore",15 July 2024,True
5994764122,NafeesRestaurant,428.33,"OldPalasia,Indore",13 July 2024,True
5996961000,Domino'sPizza,256.04,"VijayNagar,Indore",13 July 2024,True
5990741159,RiceStory,203.92,"VijayNagar,Indore",12 July 2024,True
5978523221,RiceStory,198.92,"VijayNagar,Indore",12 July 2024,True
5988216376,"Faasos-Wraps,Rolls&Shawarma",393.25,"VijayNagar,Indore",11 July 2024,True
5972018878,PizzaCastle,459.50,"MaldaLocality,Malda",05 July 2024,True
5941034439,RasaiGhar,116.15,"MaldaLocality,Malda",25 June 2024,True
5932917113,DadaBoudiRestaurant,495.89,"Sodepur,Kolkata",23 June 2024,True
5926514505,PizzaCastle,232.70,"MaldaLocality,Malda",21 June 2024,True
5930924489,KolkataHajiBiryani,225.35,"MaldaLocality,Malda",19 June 2024,True
5929011740,PizzaCastle,145.30,"MaldaLocality,Malda",19 June 2024,True
5845934282,NafeesRestaurant,270.15,"OldPalasia,Indore",21 May 2024,True
5840973698,NafeesRestaurant,378.15,"OldPalasia,Indore",19 May 2024,True
5838582494,Domino'sPizza,257.86,"VijayNagar,Indore",19 May 2024,True
5833693930,BiryaniOnWheels,185.45,"VijayNagar,Indore",17 May 2024,True
5815161015,NafeesRestaurant,378.15,"OldPalasia,Indore",14 May 2024,True
5816284995,BiryaniOnWheels,185.45,"VijayNagar,Indore",12 May 2024,True
5807803270,Domino'sPizza,257.86,"VijayNagar,Indore",11 May 2024,True
5795902184,Domino'sPizza,357.61,"VijayNagar,Indore",05 May 2024,True
5796677001,NafeesRestaurant,378.15,"OldPalasia,Indore",04 May 2024,True
5795932562,"Faasos-Wraps,Rolls&Shawarma",231.45,"VijayNagar,Indore",04 May 2024,True
5791852167,NafeesRestaurant,378.15,"OldPalasia,Indore",02 May 2024,True
5790768562,NafeesRestaurant,378.15,"OldPalasia,Indore",02 May 2024,False
5791634846,"Faasos-Wraps,Rolls&Shawarma",207.80,"VijayNagar,Indore",02 May 2024,False
5778064989,BiryaniOnWheels,185.45,"VijayNagar,Indore",28 April 2024,True
5774310641,Domino'sPizza,257.86,"VijayNagar,Indore",28 April 2024,True
5762445251,NafeesRestaurant,270.15,"OldPalasia,Indore",25 April 2024,True
5766651593,BiryaniOnWheels,185.45,"VijayNagar,Indore",24 April 2024,True
5765540566,NafeesRestaurant,306.90,"OldPalasia,Indore",23 April 2024,True
5760034677,NafeesRestaurant,378.15,"OldPalasia,Indore",21 April 2024,True
5753685200,Domino'sPizza,257.86,"VijayNagar,Indore",20 April 2024,True
5749646723,NafeesRestaurant,305.72,"OldPalasia,Indore",18 April 2024,True
5747996114,BurgerKing,221.17,"VijayNagar,Indore",18 April 2024,False
5750162954,McDonald's,236.67,"SouthTukoganj,Indore",18 April 2024,False
5749438002,Domino'sPizza,203.47,"VijayNagar,Indore",18 April 2024,False
5746369755,Domino'sPizza,203.47,"VijayNagar,Indore",18 April 2024,False
5741791452,NafeesRestaurant,375.79,"OldPalasia,Indore",16 April 2024,True
5737243706,NafeesRestaurant,375.79,"OldPalasia,Indore",14 April 2024,True
5739098622,Domino'sPizza,255.50,"VijayNagar,Indore",14 April 2024,True
5727164847,SajuChef'sBiryani,269.04,"OldPalasia,Indore",11 April 2024,True
5721229436,NafeesRestaurant,454.79,"OldPalasia,Indore",07 April 2024,True
5720496206,Domino'sPizza,255.50,"VijayNagar,Indore",07 April 2024,True
5712681087,NafeesRestaurant,427.79,"OldPalasia,Indore",06 April 2024,True
5702747917,NafeesRestaurant,375.79,"OldPalasia,Indore",31 March 2024,True
5695623333,Domino'sPizza,206.29,"VijayNagar,Indore",30 March 2024,True
5689375299,BiryaniOnWheels,337.08,"VijayNagar,Indore",30 March 2024,True
5686375623,NafeesRestaurant,375.79,"OldPalasia,Indore",26 March 2024,True
5686910736,NafeesRestaurant,375.79,"OldPalasia,Indore",25 March 2024,True
5675658311,SajuChef'sBiryani,269.04,"OldPalasia,Indore",25 March 2024,True
5675269057,Domino'sPizza,246.05,"VijayNagar,Indore",24 March 2024,True
